,metal,ox,ligstr,complex.size,spin,geom
725,fe,3.0,acetonitrile_acetonitrile_ammonia_ammonia,21.0,6.0,tetrahedral
726,fe,3.0,acetonitrile_acetonitrile_pyridine_pyridine,35.0,6.0,tetrahedral
727,fe,3.0,acetonitrile_acetonitrile_acetonitrile_ammonia,23.0,6.0,tetrahedral
728,fe,3.0,acetonitrile_acetonitrile_acetonitrile_pyridine,30.0,6.0,tetrahedral
729,fe,3.0,ammonia_benzisc_benzisc_benzisc,53.0,6.0,tetrahedral
730,fe,3.0,ammonia_cyanopyridine_cyanopyridine_cyanopyridine,41.0,6.0,tetrahedral
731,fe,3.0,ammonia_methylamine_methylamine_methylamine,26.0,6.0,tetrahedral
732,fe,3.0,ammonia_pyridine_pyridine_pyridine,38.0,6.0,tetrahedral
733,fe,3.0,ammonia_thiopyridine_thiopyridine_thiopyridine,41.0,6.0,tetrahedral
734,fe,3.0,ammonia_ammonia_benzisc_benzisc,41.0,6.0,tetrahedral
735,fe,3.0,ammonia_ammonia_cyanopyridine_cyanopyridine,33.0,6.0,tetrahedral
736,fe,3.0,ammonia_ammonia_methylamine_methylamine,23.0,6.0,tetrahedral
737,fe,3.0,ammonia_ammonia_pyridine_pyridine,31.0,6.0,tetrahedral
738,fe,3.0,ammonia_ammonia_ammonia_benzisc,29.0,6.0,tetrahedral
739,fe,3.0,ammonia_ammonia_ammonia_cyanopyridine,25.0,6.0,tetrahedral
740,fe,3.0,ammonia_ammonia_ammonia_methylamine,20.0,6.0,tetrahedral
741,fe,3.0,ammonia_ammonia_ammonia_thiopyridine,25.0,6.0,tetrahedral
742,fe,3.0,benzisc_pyridine_pyridine_pyridine,50.0,6.0,tetrahedral
743,fe,3.0,benzisc_benzisc_pyridine_pyridine,55.0,6.0,tetrahedral
744,fe,3.0,benzisc_benzisc_benzisc_pyridine,60.0,6.0,tetrahedral
745,fe,3.0,cyanopyridine_pyridine_pyridine_pyridine,46.0,6.0,tetrahedral
746,fe,3.0,cyanopyridine_cyanopyridine_pyridine_pyridine,47.0,6.0,tetrahedral
747,fe,3.0,cyanopyridine_cyanopyridine_cyanopyridine_pyridine,48.0,6.0,tetrahedral
748,fe,3.0,methylamine_pyridine_pyridine_pyridine,41.0,6.0,tetrahedral
749,fe,3.0,methylamine_methylamine_pyridine_pyridine,37.0,6.0,tetrahedral
750,fe,3.0,methylamine_methylamine_methylamine_pyridine,33.0,6.0,tetrahedral
751,fe,3.0,pyridine_thiopyridine_thiopyridine_thiopyridine,48.0,6.0,tetrahedral
752,fe,3.0,pyridine_pyridine_thiopyridine_thiopyridine,47.0,6.0,tetrahedral
753,fe,3.0,pyridine_pyridine_pyridine_thiopyridine,46.0,6.0,tetrahedral
754,fe,3.0,scn_scn_ammonia_ammonia,15.0,6.0,tetrahedral
